player_id,game_id,Min,FGM,FGA,3PA,3PM,FTA,FTM,OREB,REB,AST,ST,BLK,Turnover,PF,PTS,id,name,height,weight,DOB,position_id,team_id,id,tournament_round_id,region_id,team_play,winner,loser,score,id,date,region_id,final round
76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,Tim Delaney,NULL,NULL,NULL,2,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
77,7,28,4,13,5,1,0,0,0,2,2,2,0,2,4,9,77,Jalen Brunson,NULL,NULL,NULL,1,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
78,7,16,0,0,0,0,4,4,0,5,1,1,0,0,0,4,78,Collin Gillespie,NULL,NULL,NULL,1,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
79,7,37,10,15,7,5,10,6,3,5,3,0,2,4,1,31,79,Donte DiVincenzo,NULL,NULL,NULL,1,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
80,7,23,1,4,3,0,0,0,1,2,0,1,0,0,4,2,80,Phil Booth,NULL,NULL,NULL,1,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
82,7,36,7,12,7,3,2,2,2,4,1,1,0,2,2,19,82,Mikal Bridges,NULL,NULL,NULL,1,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
26,7,7,1,2,0,0,0,0,1,3,1,0,0,0,1,2,26,Jon Teske,NULL,NULL,NULL,3,3,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
27,7,20,0,2,2,0,0,0,1,4,0,1,0,0,1,0,27,Isaiah Livers,NULL,NULL,NULL,2,3,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
28,7,33,6,11,4,1,4,3,0,7,1,0,0,4,4,16,28,Moritz Wagner,NULL,NULL,NULL,2,3,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
32,7,10,1,5,2,0,1,1,0,1,1,1,0,0,2,3,32,Jordan Poole,NULL,NULL,NULL,1,3,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
33,7,34,4,8,2,0,3,2,1,3,2,1,0,3,1,10,33,Zavier Simpson,NULL,NULL,NULL,1,3,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
30,7,33,3,9,2,0,4,0,0,3,1,2,1,3,5,6,30,Charles Matthews,NULL,NULL,NULL,1,3,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
31,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,Jaaron Simmons,NULL,NULL,NULL,1,3,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
29,7,34,8,13,7,2,6,5,0,1,0,0,0,0,2,23,29,Muhammad-Ali Abdur-Rahkman,NULL,NULL,NULL,1,3,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
34,7,22,0,3,3,0,0,0,0,1,0,1,0,0,3,0,34,Duncan Robinson,NULL,NULL,NULL,1,3,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
83,7,4,NULL,0,0,0,0,0,1,1,0,0,0,1,0,0,83,Dhamir Cosby-Roundtree,NULL,NULL,NULL,2,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
74,7,29,NULL,8,2,0,2,2,4,11,0,0,0,1,3,8,74,Omari Spellman,NULL,NULL,NULL,2,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
75,7,27,NULL,5,3,1,2,1,1,8,0,0,1,2,4,6,75,Eric Paschall,NULL,NULL,NULL,2,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
84,7,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Jermaine Samuels,NULL,NULL,NULL,2,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
76,7,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,76,Tim Delaney,NULL,NULL,NULL,2,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
77,7,28,NULL,13,5,1,0,0,0,2,2,2,0,2,4,9,77,Jalen Brunson,NULL,NULL,NULL,1,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
78,7,16,NULL,0,0,0,4,4,0,5,1,1,0,0,0,4,78,Collin Gillespie,NULL,NULL,NULL,1,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
79,7,37,NULL,15,7,5,10,6,3,5,3,0,2,4,1,31,79,Donte DiVincenzo,NULL,NULL,NULL,1,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
80,7,23,NULL,4,3,0,0,0,1,2,0,1,0,0,4,2,80,Phil Booth,NULL,NULL,NULL,1,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
82,7,36,NULL,12,7,3,2,2,2,4,1,1,0,2,2,19,82,Mikal Bridges,NULL,NULL,NULL,1,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
